Name,Path,Position,Is Active,Url Key,Description,Image,Page Title,Meta Keywords,Meta Description,Include In Menu,Display Mode,CMS Block,Is Anchor,Availabe Sort By,Default Sort By,Page Layout,Custom Layout Update
Corvette GIfts,Default,28,Yes,default-corvette-gifts,"<p>Looking for Corvette Gifts? Zip is your one-stop-shop for a Corvette Christmas, Fathers Day/Mothers Day, Birthday; or just because!</p>
<p>Zip has a wide inventory of Corvette gifts for fans of every generation - and every budget.</p>
<p>Shop: <a title=""Corvette Gifts Under $25"" href=""https://www.zip-corvette.com/gift-ideas/gifts-under-25.html"">Corvette Gifts Under $25</a>&nbsp;| <a title=""Corvette Gifts $25 - $50"" href=""https://www.zip-corvette.com/gift-ideas/gifts-over-25-under-50.html"">Corvette Gifts $25 - $50</a>&nbsp;| <a title=""Corvette Gifts Over $50"" href=""https://www.zip-corvette.com/gift-ideas/gifts-over-50.html"">Corvette Gifts Over $50</a></p>
<p>If you only need a little something, we\'ve got you covered with everything from <a title=""Corvette Mugs"" href=""https://www.zip-corvette.com/corvette-gifts/man-cave/mugs-cups.html"">Corvette Travel Mugs</a> to <a title=""Corvette Lapel Pins"" href=""https://www.zip-corvette.com/catalogsearch/result/?order=relevance&amp;dir=desc&amp;cat=All+Categories&amp;q=Lapel+Pins"">Lapel Pins</a>. If you\'re looking for a showstopper, we recommend you consider a new <a title=""Corvette Car Cover"" href=""https://www.zip-corvette.com/corvette-gifts/car-covers.html"">Corvette Car Cover</a> or Color Matched <a title=""Corvette License Plate Frame"" href=""https://www.zip-corvette.com/corvette-gifts/popular-corvette-bolt-ons/license-plate-frames.html"">License Plate Frame</a>.&nbsp;It\'s always a great time to splurge on <a title=""Corvette Sunglasses"" href=""https://www.zip-corvette.com/corvette-brands/corvette-eyewear.html"">Corvette Sunglasses</a> by Corvette Eyewear!</p>
<p>Looking to treat yourself? <a title=""Corvette Clocks"" href=""https://www.zip-corvette.com/corvette-gifts/man-cave/neon-clocks.html"">Corvette Clocks</a> are a unique addition to your garage or home office. While you\'re at it, consider a <a title=""Corvette Table and Chairs"" href=""https://www.zip-corvette.com/corvette-gifts/man-cave/stools-tables.html"">Corvette Table and/or Stools</a> to complete the look.</p>
<p>Whatever the occasion, give them what they really want - Corvette Stuff!</p>",,"Corvette Gifts - Shirts, Hats, Gift Cards and more",,"Our wide selection of Corvette Gifts includes everything a Corvette enthusiast would want including shirts, jackets, hats, bags and much more. If you aren\'t sure which gift to buy choose a Zip gift card instead.",No,Products only,,Yes,,,No layout updates,
Stocking Stuffers,Default/Corvette GIfts,1,Yes,stocking-stuffers,,corvette-gifts-corvette-stocking-stuffers-category-1.jpg,Corvette Stocking Stuffers,,Corvette Stocking Stuffers make great gifts for enthusiasts during the holidays and throughout the year. Zip has a number of popular Corvette gift ideas ready to ship today.,Yes,Products only,,Yes,,,No layout updates,
Books & Calendars,Default/Corvette GIfts,2,Yes,books-calendars,,corvette-gifts-books-calendars-category.jpg,Corvette Books & Calendars,,Corvette Books & Calendars make great gifts for enthusiasts during the holidays and throughout the year. Zip has a number of popular Corvette gift ideas ready to ship today.,Yes,Products only,,Yes,,,No layout updates,
Apparel,Default/Corvette GIfts,3,Yes,apparel,,corvette-gifts-corvette-apparel-category.jpg,Corvette Apparel,,Corvette Apparel make great gifts for enthusiasts during the holidays and throughout the year. Zip has a number of popular Corvette gift ideas ready to ship today.,Yes,Products only,,Yes,,,No layout updates,
Man Cave,Default/Corvette GIfts,4,Yes,man-cave,,corvette-gifts-corvette-man-cave-category-1.jpg,Corvette Man Cave,,Corvette Man Cave make great gifts for enthusiasts during the holidays and throughout the year. Zip has a number of popular Corvette gift ideas ready to ship today.,Yes,Products only,,Yes,,,No layout updates,
Garage,Default/Corvette GIfts,5,Yes,garage,,corvette-gifts-corvette-garage-category.jpg,Corvette Garage,,Corvette Garage make great gifts for enthusiasts during the holidays and throughout the year. Zip has a number of popular Corvette gift ideas ready to ship today.,Yes,Products only,,Yes,,,No layout updates,
Popular Corvette Bolt-Ons,Default/Corvette GIfts,6,Yes,popular-corvette-bolt-ons,,corvette-gifts-popular-corvette-bolt-ons-category.jpg,Corvette Popular Corvette Bolt-Ons,,Corvette Popular Corvette Bolt-Ons make great gifts for enthusiasts during the holidays and throughout the year. Zip has a number of popular Corvette gift ideas ready to ship today.,Yes,Products only,,Yes,,,No layout updates,
Showfield & Stadium,Default/Corvette GIfts,7,Yes,showfield-stadium,,corvette-gifts-showfield-stadium-category.jpg,Corvette Showfield & Stadium,,Corvette Showfield & Stadium make great gifts for enthusiasts during the holidays and throughout the year. Zip has a number of popular Corvette gift ideas ready to ship today.,Yes,Products only,,Yes,,,No layout updates,
Duffel & Tote Bags,Default/Corvette GIfts,8,Yes,duffel-tote-bags,,corvette-gifts-duffel-tote-bags-category.jpg,Corvette Duffel & Tote Bags,,Corvette Duffel & Tote Bags make great gifts for enthusiasts during the holidays and throughout the year. Zip has a number of popular Corvette gift ideas ready to ship today.,Yes,Products only,,Yes,,,No layout updates,
Die Cast & Collectables,Default/Corvette GIfts,9,Yes,die-cast-collectables,,corvette-gifts-die-cast-collectables-category.jpg,Corvette Die Cast & Collectables,,Corvette Die Cast & Collectables make great gifts for enthusiasts during the holidays and throughout the year. Zip has a number of popular Corvette gift ideas ready to ship today.,Yes,Products only,,Yes,,,No layout updates,
